schoolName,sourceTitle,sourceUrl,sourceDate,notes
北京大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国人民大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
清华大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
北京航空航天大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
北京理工大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中国农业大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
北京师范大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中央民族大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
南开大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
天津大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
大连理工大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
东北大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
吉林大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
哈尔滨工业大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
复旦大学,“985工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200612/t20061206_128833.html,2026-04-21,原始來源為教育部“985工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
