moeCode,schoolName,website,schoolAddress,sourceTitle,sourceUrl,sourceDate,confidence,notes
4111010026,北京中医药大学,http://www.bucm.edu.cn/,北京市朝阳区北三环东路11号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010027,北京师范大学,http://www.bnu.edu.cn,北京市新街口外大街19号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010028,首都师范大学,http://www.cnu.edu.cn/,北京市海淀区西三环北路105号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010029,首都体育学院,https://www.cupes.edu.cn/,北京市海淀区北三环西路11号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010030,北京外国语大学,http://www.bfsu.edu.cn/,北京市海淀区西三环北路2号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010031,北京第二外国语学院,http://www.bisu.edu.cn,北京市朝阳区定福庄南里1号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010032,北京语言大学,http://www.blcu.edu.cn/,北京市海淀区学院路15号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010033,中国传媒大学,http://www.cuc.edu.cn/,北京市朝阳区定福庄东街一号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010034,中央财经大学,http://www.cufe.edu.cn/,"南路校区：北京市海淀区学院南路39号,沙河校区：北京市昌平区沙河高教园区",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010036,对外经济贸易大学,http://www.uibe.edu.cn/,北京市朝阳区惠新东街10号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
