moeCode,schoolName,campusName,campusAddress,province,city,district,lat,lng,undergraduateScope,freshmanOnly,mainCampusType,nearestMetroStation,metroDistanceKm,sourceTitle,sourceUrl,sourceDate,confidence,notes
4122010206,白城师范学院,主校区,吉林省白城市洮北区中兴西大路57号,吉林,白城,洮北区,45.613426,122.802926,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.30 km。
4122010207,吉林财经大学,主校区,吉林省长春市净月大街3699号,吉林,长春,,43.873724,125.361634,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122010208,吉林体育学院,主校区,吉林省长春市南关区自由大路2476号,吉林,长春,长春市南关区,43.859677,125.333204,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122010209,吉林艺术学院,主校区,吉林省长春市自由大路695号,吉林,长春,,43.862417,125.310702,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122010847,辽源职业技术学院,主校区,吉林省辽源市龙山区职教园区光明大街777号,吉林,辽源,龙山区,42.846743,125.122832,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.42 km。
4122010964,吉林外国语大学,主校区,吉林省长春市净月国家高新技术产业开发区净月大街3658号,吉林,长春,高新技术产业开发区,43.821012,125.434758,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122011044,四平职业大学,海丰校区,吉林省四平市海丰大街3001号,吉林,四平,,43.1388,124.338373,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。
4122011044,四平职业大学,主校区,吉林省四平市铁东区沥山街（路）5117号,吉林,四平,四平市铁东区,43.116396,124.420173,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,校区地址与 DaoSword 宽表中的标注校区名一致。
4122011261,吉林工商学院,主校区,吉林省长春市九台经济开发区卡伦湖大街1666号,吉林,长春,九台经济开发区,43.873724,125.361634,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122011436,长春汽车职业技术大学,主校区,吉林省长春市新红旗大街1777号,吉林,长春,长春市新红旗,,,unknown,unknown,,,,DaoSword China-Education-Data,https://github.com/DaoSword/China-Education-Data,2026-04-21,low,当前为学校级校址占位；需要后续 deep research 继续补本科生具体校区、是否大一分校和地铁距离。
