moeCode,schoolName,website,admissionWebsite,sourceTitle,sourceUrl,sourceDate,confidence,notes
4111010017,北京石油化工学院,http://www.bipt.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010018,北京电子科技学院,http://www.besti.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010019,中国农业大学,http://www.cau.edu.cn/,https://jwzs.cau.edu.cn/,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010020,北京农学院,http://www.bua.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010022,北京林业大学,http://www.bjfu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010023,北京协和医学院,http://www.cams.ac.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010025,首都医科大学,http://www.ccmu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010026,北京中医药大学,http://www.bucm.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010027,北京师范大学,http://www.bnu.edu.cn/,https://admission.bnu.edu.cn/,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010028,首都师范大学,http://www.cnu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010029,首都体育学院,https://www.cupes.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010030,北京外国语大学,http://www.bfsu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010031,北京第二外国语学院,http://www.bisu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010032,北京语言大学,http://www.blcu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010033,中国传媒大学,http://www.cuc.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010034,中央财经大学,http://www.cufe.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010036,对外经济贸易大学,http://www.uibe.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
4111010037,北京物资学院,http://www.bwu.edu.cn/,,老生常谈 高等院校三千所,https://laosheng.top/fuwu/yuanxiao,2026-04-22,medium,第三方人工维护高校网址目录；仅用于补齐学校官网与本科招生网，不覆盖现有更高优先级来源。
