schoolName,disciplinesRaw,doubleFirstClassRound,sourceTitle,sourceUrl,sourceDate,notes
中央财经大学,应用经济学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
对外经济贸易大学,应用经济学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
外交学院,政治学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国人民公安大学,公安学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京体育大学,体育学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中央音乐学院,音乐与舞蹈学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国音乐学院,音乐与舞蹈学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中央美术学院,美术学、设计学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中央戏剧学院,戏剧与影视学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中央民族大学,民族学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国政法大学,法学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
南开大学,应用经济学、世界史、数学、化学、统计学、材料科 学与工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
天津大学,化学、材料科学与工程、动力工程及工程热物理、化 学工程与技术、管理科学与工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
