schoolName,sourceTitle,sourceUrl,sourceDate,notes
辽宁大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
大连理工大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
东北大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
大连海事大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
吉林大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
延边大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
东北师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
哈尔滨工业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
哈尔滨工程大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
东北农业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
东北林业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
复旦大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
同济大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
上海交通大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华东理工大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
