moeCode,schoolName,website,admissionWebsite,sourceTitle,sourceUrl,sourceDate,confidence,notes
4111010003,清华大学,https://www.tsinghua.edu.cn/,,学校官网,https://www.tsinghua.edu.cn/,2024,medium,
4111010001,北京大学,https://www.pku.edu.cn/,,学校官网,https://www.pku.edu.cn/,2024,medium,
4133010335,浙江大学,https://www.zju.edu.cn/,,学校官网,https://www.zju.edu.cn/,2024,medium,
4131010248,上海交通大学,https://www.sjtu.edu.cn/,,学校官网,https://www.sjtu.edu.cn/,2024,medium,
4132010284,南京大学,https://www.nju.edu.cn/,,学校官网,https://www.nju.edu.cn/,2024,medium,
4131010246,复旦大学,https://www.fudan.edu.cn/,,学校官网,https://www.fudan.edu.cn/,2024,medium,
4134010358,中国科学技术大学,https://www.ustc.edu.cn/,,学校官网,https://www.ustc.edu.cn/,2024,medium,
4142010487,华中科技大学,https://www.hust.edu.cn/,,学校官网,https://www.hust.edu.cn/,2024,medium,
4142010486,武汉大学,https://www.whu.edu.cn/,,学校官网,https://www.whu.edu.cn/,2024,medium,
4161010698,西安交通大学,http://www.xjtu.edu.cn/,,学校官网,http://www.xjtu.edu.cn/,2024,medium,
4123010213,哈尔滨工业大学,https://www.hit.edu.cn/,,学校官网,https://www.hit.edu.cn/,2024,medium,
4144010558,中山大学,http://www.sysu.edu.cn/,,学校官网,http://www.sysu.edu.cn/,2024,medium,
4111010027,北京师范大学,https://www.bnu.edu.cn/,,学校官网,https://www.bnu.edu.cn/,2024,medium,
4151010610,四川大学,https://www.scu.edu.cn/,,学校官网,https://www.scu.edu.cn/,2024,medium,
4111010006,北京航空航天大学,https://www.buaa.edu.cn/,,学校官网,https://www.buaa.edu.cn/,2024,medium,
4131010247,同济大学,https://www.tongji.edu.cn/,,学校官网,https://www.tongji.edu.cn/,2024,medium,
4132010286,东南大学,https://www.seu.edu.cn/,,学校官网,https://www.seu.edu.cn/,2024,medium,
4111010002,中国人民大学,https://www.ruc.edu.cn/,,学校官网,https://www.ruc.edu.cn/,2024,medium,
4111010007,北京理工大学,https://www.bit.edu.cn/,,学校官网,https://www.bit.edu.cn/,2024,medium,
4112010055,南开大学,https://www.nankai.edu.cn/,,学校官网,https://www.nankai.edu.cn/,2024,medium,
4137010422,山东大学,https://www.sdu.edu.cn/,,学校官网,https://www.sdu.edu.cn/,2024,medium,
4112010056,天津大学,http://www.tju.edu.cn/,,学校官网,http://www.tju.edu.cn/,2024,medium,
4143010533,中南大学,https://www.csu.edu.cn/,,学校官网,https://www.csu.edu.cn/,2024,medium,
4122010183,吉林大学,https://www.jlu.edu.cn/,,学校官网,https://www.jlu.edu.cn/,2024,medium,
4161010699,西北工业大学,https://www.nwpu.edu.cn/,,学校官网,https://www.nwpu.edu.cn/,2024,medium,
4135010384,厦门大学,https://www.xmu.edu.cn/,,学校官网,https://www.xmu.edu.cn/,2024,medium,
4144010561,华南理工大学,https://www.scut.edu.cn/,,学校官网,https://www.scut.edu.cn/,2024,medium,
4121010141,大连理工大学,https://www.dlut.edu.cn/,,学校官网,https://www.dlut.edu.cn/,2024,medium,
4131010269,华东师范大学,https://www.ecnu.edu.cn/,,学校官网,https://www.ecnu.edu.cn/,2024,medium,
4111010019,中国农业大学,https://www.cau.edu.cn/,,学校官网,https://www.cau.edu.cn/,2024,medium,
4151010614,电子科技大学,https://www.uestc.edu.cn/,,学校官网,https://www.uestc.edu.cn/,2024,medium,
4143010532,湖南大学,https://www.hnu.edu.cn/,,学校官网,https://www.hnu.edu.cn/,2024,medium,
4111010008,北京科技大学,https://www.ustb.edu.cn/,,学校官网,https://www.ustb.edu.cn/,2024,medium,
4150010611,重庆大学,https://www.cqu.edu.cn/,,学校官网,https://www.cqu.edu.cn/,2024,medium,
4132010287,南京航空航天大学,https://www.nuaa.edu.cn/,,学校官网,https://www.nuaa.edu.cn/,2024,medium,
4121010145,东北大学,https://www.neu.edu.cn/,,学校官网,https://www.neu.edu.cn/,2024,medium,
